date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:46	448/448	---M--	503	error ('backend%20read%20error')	text/html	date:Tue,%2017%20Apr%202018%2017:35:45%20GMT	http://mitis-first-project.webflow.io/robots.txt		(from )
20:35:47	16671/16671	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Apr%202018%2017:35:45%20GMT	http://mitis-first-project.webflow.io/	D:/delete.later/Miti/mitis-first-project.webflow.io/index.html	(from )
20:35:47	42367/42367	---M-Z	200	added ('OK')	text/css	etag:%22a4591f575649acd2b8f3a44f58ddc34f%22	https://uploads-ssl.webflow.com/5acce2f76634d20d2d4cd2dc/css/mitis-first-project.webflow.0884488e8.css	D:/delete.later/Miti/uploads-ssl.webflow.com/5acce2f76634d20d2d4cd2dc/css/mitis-first-project.webflow.0884488e8.css	(from http://mitis-first-project.webflow.io/)
20:35:47	17698/17698	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	D:/delete.later/Miti/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://mitis-first-project.webflow.io/)
20:35:48	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://daks2k3a4ib2z.cloudfront.net/img/webclip.png	D:/delete.later/Miti/daks2k3a4ib2z.cloudfront.net/img/webclip.png	(from http://mitis-first-project.webflow.io/)
20:35:48	1841/1841	---M--	200	added ('OK')	image/png	etag:%224ac7453b040ef0620a0b9e38701c8959%22	http://uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d24dd84cd2f8_minimal-logo.png	D:/delete.later/Miti/uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d24dd84cd2f8_minimal-logo.png	(from http://mitis-first-project.webflow.io/)
20:35:48	792/792	---M--	200	added ('OK')	image/png	etag:%225daeaae88b9342ad6f5e5bb05db66f54%22	http://uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d25e1d4cd2ff_x-black.png	D:/delete.later/Miti/uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d25e1d4cd2ff_x-black.png	(from http://mitis-first-project.webflow.io/)
20:35:48	5347/5347	---M--	200	added ('OK')	image/png	etag:%2273e4c358f34e514127d5b63593eb4389%22	http://uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d2f9814cd300_icon-target.png	D:/delete.later/Miti/uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d2f9814cd300_icon-target.png	(from http://mitis-first-project.webflow.io/)
20:35:49	1169/1169	---M--	200	added ('OK')	image/png	etag:%22b7bcee2d8ac4bfb949182f72e8884534%22	http://uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d2f5724cd301_icon-design.png	D:/delete.later/Miti/uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d2f5724cd301_icon-design.png	(from http://mitis-first-project.webflow.io/)
20:35:49	2233/2233	---M--	200	added ('OK')	image/png	etag:%2227fe4a3f2b7ce9bb689f650ea43bc502%22	http://uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d2e8ff4cd2f0_icon-chart.png	D:/delete.later/Miti/uploads.webflow.com/5acce2f76634d20d2d4cd2dc/5acce2f86634d2e8ff4cd2f0_icon-chart.png	(from http://mitis-first-project.webflow.io/)
